kb8_s67167	Protein disulfide-isomerase OS=Oryctolagus cuniculus OX=9986 GN=P4HB PE=2 SV=1 E(blastx)=4e-09
kb8_c17167	Signal peptide peptidase-like 2 OS=Arabidopsis thaliana OX=3702 GN=SPPL2 PE=2 SV=1 E(blastx)=2e-05
kb8_c9666	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A OS=Bos taurus OX=9913 GN=PDE1A PE=1 SV=3 E(blastx)=7e-39
kb8_c27497	Probable glucuronosyltransferase GUT1 OS=Oryza sativa subsp. japonica OX=39947 GN=GUT1 PE=2 SV=2 E(blastx)=9e-11
kb8_rep_c24468	Protein disulfide-isomerase 5-4 OS=Arabidopsis thaliana OX=3702 GN=PDIL5-4 PE=2 SV=1 E(blastx)=5e-27
kb8_rep_c51354	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase OS=Streptococcus equinus OX=1335 GN=gapN PE=1 SV=1 E(blastx)=7e-26
kb8_rep_c16846	Cytochrome b-c1 complex subunit Rieske-2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=UCR1-2 PE=1 SV=1 E(blastx)=2e-65
kb8_c18890	Biotin biosynthesis bifunctional protein BioHC OS=Teredinibacter turnerae (strain ATCC 39867 / T7901) OX=377629 GN=bioC PE=3 SV=1 E(blastx)=8e-05
kb8_rep_c51910	Methionine synthase OS=Bos taurus OX=9913 GN=MTR PE=2 SV=1 E(blastx)=2e-77
kb8_c51000	ATP-dependent RNA helicase mtr4 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mtr4 PE=1 SV=1 E(blastx)=7e-31
kb8_c15127	Phospholipase DDHD2 OS=Mus musculus OX=10090 GN=Ddhd2 PE=1 SV=3 E(blastx)=4e-33
kb8_rep_c28507	40S ribosomal protein S13 OS=Glycine max OX=3847 GN=RPS13 PE=2 SV=1 E(blastx)=1e-80
kb8_rep_c4283	Ectoine/proline transporter ProP OS=Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025) OX=196627 GN=proP PE=1 SV=1 E(blastx)=3e-27
kb8_rep_c17066	Endoplasmic reticulum resident protein 29 OS=Mus musculus OX=10090 GN=Erp29 PE=1 SV=2 E(blastx)=1e-05
kb8_rep_c406	Crinkler effector protein 16 OS=Phytophthora infestans OX=4787 GN=CRN16 PE=2 SV=1 E(blastx)=2e-08
kb8_rep_c49	Phospholipid hydroperoxide glutathione peroxidase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GPX1 PE=2 SV=2 E(blastx)=1e-40
kb8_c39441	Ankyrin repeat domain-containing protein 54 OS=Danio rerio OX=7955 GN=ankrd54 PE=2 SV=1 E(blastx)=3e-08
kb8_c34543	cGMP-dependent protein kinase 1 OS=Homo sapiens OX=9606 GN=PRKG1 PE=1 SV=3 E(blastx)=2e-09
kb8_s55534	Probable glutathione S-transferase OS=Nicotiana tabacum OX=4097 PE=2 SV=1 E(blastx)=4e-10
kb8_c25486	Putative thiamine transporter SLC35F3 OS=Homo sapiens OX=9606 GN=SLC35F3 PE=2 SV=2 E(blastx)=5e-07
kb8_rep_c6186	Tropinone reductase 1 OS=Datura stramonium OX=4076 GN=TR1 PE=1 SV=1 E(blastx)=8e-46
kb8_c24339	Flavin mononucleotide phosphatase YigB OS=Shigella flexneri OX=623 GN=yigB PE=3 SV=1 E(blastx)=3e-07
kb8_rep_c4891	BI1-like protein OS=Arabidopsis thaliana OX=3702 GN=LFG5 PE=2 SV=1 E(blastx)=3e-20
kb8_rep_c3697	Glycosyltransferase-like At2g41451 OS=Arabidopsis thaliana OX=3702 GN=At2g41451 PE=3 SV=1 E(blastx)=5e-07
kb8_rep_c17677	Protein CAJ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAJ1 PE=1 SV=1 E(blastx)=6e-33
kb8_c26795	2Fe-2S ferredoxin OS=Rickettsia typhi (strain ATCC VR-144 / Wilmington) OX=257363 GN=fdxB PE=3 SV=1 E(blastx)=2e-07
kb8_c25684	Mitochondrial intermediate peptidase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=OCT1 PE=3 SV=1 E(blastx)=4e-64
kb8_rep_c53571	Sodium-dependent phosphate transport protein 2B OS=Mus musculus OX=10090 GN=Slc34a2 PE=1 SV=1 E(blastx)=1e-32
kb8_c31231	PITH domain-containing protein 1 OS=Xenopus laevis OX=8355 GN=pithd1 PE=2 SV=1 E(blastx)=4e-34
kb8_c8430	Dual specificity protein phosphatase 3 OS=Mus musculus OX=10090 GN=Dusp3 PE=1 SV=1 E(blastx)=2e-14
kb8_s58864	Dehydrogenase/reductase SDR family member 12 OS=Homo sapiens OX=9606 GN=DHRS12 PE=2 SV=2 E(blastx)=3e-25
kb8_rep_c12371	Stress-induced-phosphoprotein 1 OS=Caenorhabditis elegans OX=6239 GN=sti-1 PE=1 SV=1 E(blastx)=3e-06
kb8_rep_c46067	Ribulose bisphosphate carboxylase, chloroplastic OS=Heterocapsa triquetra OX=66468 GN=rbcL PE=2 SV=1 E(blastx)=2e-07
kb8_rep_c32324	Hsp70-Hsp90 organizing protein OS=Triticum aestivum OX=4565 GN=HOP PE=1 SV=1 E(blastx)=2e-06
kb8_rep_c487	UTP--glucose-1-phosphate uridylyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UGP1 PE=1 SV=1 E(blastx)=5e-84
kb8_rep_c4777	Potassium channel AKT1 OS=Oryza sativa subsp. indica OX=39946 GN=AKT1 PE=2 SV=1 E(blastx)=1e-06
kb8_c47383	L-2-aminoadipate reductase large subunit OS=Penicillium chrysogenum OX=5076 GN=lys2 PE=3 SV=1 E(blastx)=9e-21
kb8_rep_c2906	25S rRNA (uridine-N(3))-methyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=bmt5 PE=3 SV=1 E(blastx)=6e-10
kb8_rep_c14197	Phospholipid-transporting ATPase IB OS=Mus musculus OX=10090 GN=Atp8a2 PE=1 SV=1 E(blastx)=3e-71
kb8_c23322	Epithelial splicing regulatory protein 2 OS=Rattus norvegicus OX=10116 GN=Esrp2 PE=2 SV=1 E(blastx)=1e-05
kb8_c29528	ENTH domain-containing protein C794.11c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC794.11c PE=1 SV=2 E(blastx)=2e-13
kb8_rep_c48688	Glutamate decarboxylase alpha OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e) OX=169963 GN=gadA PE=3 SV=2 E(blastx)=4e-20
kb8_c16498	50S ribosomal protein L11, chloroplastic OS=Gracilaria tenuistipitata var. liui OX=285951 GN=rpl11 PE=3 SV=1 E(blastx)=3e-42
kb8_c23014	Cathepsin E-B OS=Xenopus laevis OX=8355 GN=ctse-b PE=2 SV=1 E(blastx)=5e-17
kb8_c35093	Pentatricopeptide repeat-containing protein MRL1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MRL1 PE=1 SV=2 E(blastx)=2e-21
kb8_c21515	Palmitoyltransferase ZDHHC14 OS=Mus musculus OX=10090 GN=Zdhhc14 PE=1 SV=1 E(blastx)=3e-32
kb8_s63178	ABC transporter B family member 17 OS=Arabidopsis thaliana OX=3702 GN=ABCB17 PE=3 SV=1 E(blastx)=3e-09
kb8_rep_c2288	Endoplasmic reticulum chaperone BiP OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=bip1 PE=3 SV=2 E(blastx)=1e-67
kb8_c43533	Multifunctional tryptophan biosynthesis protein OS=Phanerochaete chrysosporium OX=5306 GN=TRPC PE=3 SV=1 E(blastx)=2e-24
kb8_s66074	Long-chain-fatty-acid--CoA ligase ACSBG2 OS=Xenopus laevis OX=8355 GN=acsbg2 PE=2 SV=1 E(blastx)=2e-17
kb8_c11761	Sodium/potassium/calcium exchanger 2 OS=Rattus norvegicus OX=10116 GN=Slc24a2 PE=1 SV=1 E(blastx)=6e-99
kb8_c10783	Putative membrane-bound redox modulator Alx OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=alx PE=3 SV=1 E(blastx)=2e-48
kb8_c16353	Modification methylase HpaII OS=Haemophilus parainfluenzae OX=729 GN=hpaIIM PE=1 SV=1 E(blastx)=3e-13
kb8_c14988	Protein kinase 2 OS=Dictyostelium discoideum OX=44689 GN=pkgB PE=1 SV=2 E(blastx)=1e-54
kb8_rep_c51831	Cytochrome c oxidase subunit 3 OS=Glycine max OX=3847 GN=COX3 PE=2 SV=1 E(blastx)=5e-08
kb8_rep_c17737	Calcium-dependent protein kinase 3 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=CPK3 PE=1 SV=1 E(blastx)=3e-102
kb8_c51047	Probable 18S rRNA (guanine-N(7))-methyltransferase OS=Homo sapiens OX=9606 GN=BUD23 PE=1 SV=2 E(blastx)=8e-10
kb8_c17664	RNA exonuclease 4 OS=Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) OX=229533 GN=REX4 PE=3 SV=1 E(blastx)=4e-13
kb8_c5604	Ankyrin-3 OS=Mus musculus OX=10090 GN=Ank3 PE=1 SV=1 E(blastx)=6e-12
kb8_rep_c21407	60S ribosomal protein L32 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=crp-63 PE=3 SV=1 E(blastx)=8e-33
kb8_rep_c9975	Endoglucanase D OS=Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) OX=394503 GN=celCCD PE=3 SV=1 E(blastx)=1e-26
kb8_c25948	Mycinamicin VI 2''-O-methyltransferase OS=Micromonospora griseorubida OX=28040 GN=mycE PE=1 SV=1 E(blastx)=5e-15
kb8_c12828	Choline transporter-like 1 OS=Aedes aegypti OX=7159 GN=Ctl1 PE=3 SV=1 E(blastx)=2e-16
kb8_c15229	Protein mono-ADP-ribosyltransferase TIPARP OS=Mus musculus OX=10090 GN=Tiparp PE=2 SV=1 E(blastx)=3e-11
kb8_rep_c35426	Probable E3 ubiquitin-protein ligase RHA4A OS=Arabidopsis thaliana OX=3702 GN=RHA4A PE=2 SV=1 E(blastx)=2e-13
kb8_rep_c17585	Actin OS=Coleochaete scutata OX=3125 PE=2 SV=1 E(blastx)=3e-27
kb8_rep_c56212	Putative permease MJ0326 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0326 PE=3 SV=1 E(blastx)=5e-26
kb8_s67071	Photosystem I P700 chlorophyll a apoprotein A1 OS=Heterocapsa triquetra OX=66468 GN=psaA PE=3 SV=1 E(blastx)=6e-17
kb8_c31095	Tubulin delta chain OS=Xenopus tropicalis OX=8364 GN=tubd1 PE=2 SV=1 E(blastx)=1e-14
kb8_c19794	Phosphatidylinositol transfer protein 3 OS=Dictyostelium discoideum OX=44689 GN=pitC PE=2 SV=1 E(blastx)=4e-07
kb8_rep_c54442	Crinkler effector protein 108 OS=Phytophthora sojae OX=67593 GN=CRN108 PE=1 SV=1 E(blastx)=9e-05
kb8_c36373	Cycloartenol synthase OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0139700 PE=1 SV=1 E(blastx)=9e-39
kb8_c48666	Manganese-transporting ATPase 13A1 OS=Mus musculus OX=10090 GN=Atp13a1 PE=1 SV=2 E(blastx)=7e-21
kb8_c45303	Carbon catabolite repressor protein 4 homolog 2 OS=Arabidopsis thaliana OX=3702 GN=CCR4-2 PE=2 SV=2 E(blastx)=1e-05
kb8_rep_c525	Pre-mRNA-splicing factor ISY1 homolog OS=Rattus norvegicus OX=10116 GN=Isy1 PE=2 SV=1 E(blastx)=4e-47
kb8_c29856	Zinc finger protein zfs1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=zfs1 PE=1 SV=1 E(blastx)=8e-06
kb8_c8391	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 OS=Danio rerio OX=7955 GN=jmjd6 PE=2 SV=2 E(blastx)=6e-79
kb8_rep_c3738	Probable endo-1,3(4)-beta-glucanase NFIA_089530 OS=Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) OX=331117 GN=NFIA_089530 PE=3 SV=1 E(blastx)=1e-58
kb8_c39280	Protein OS-9 homolog OS=Oryza sativa subsp. japonica OX=39947 GN=OS9 PE=2 SV=1 E(blastx)=5e-07
kb8_rep_c49973	Long-chain-fatty-acid--CoA ligase 3 OS=Pongo abelii OX=9601 GN=ACSL3 PE=2 SV=2 E(blastx)=6e-11
kb8_s54343	Probable protein S-acyltransferase 6 OS=Arabidopsis thaliana OX=3702 GN=PAT06 PE=2 SV=1 E(blastx)=2e-21
kb8_rep_c20457	Splicing factor U2af large subunit A OS=Nicotiana plumbaginifolia OX=4092 GN=U2AF65A PE=2 SV=1 E(blastx)=3e-19
kb8_c23374	Oxidation resistance protein 1 OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=OXR1 PE=3 SV=1 E(blastx)=2e-21
kb8_s65482	Glutathione S-transferase alpha-3 OS=Rattus norvegicus OX=10116 GN=Gsta3 PE=1 SV=3 E(blastx)=2e-28
kb8_c25636	Cold shock-like protein CspC OS=Shigella flexneri OX=623 GN=cspC PE=3 SV=3 E(blastx)=3e-06
kb8_rep_c54095	Ribonucleoside-diphosphate reductase large subunit OS=Plasmodium falciparum (isolate Dd2) OX=57267 GN=RNR1 PE=2 SV=1 E(blastx)=4e-133
kb8_s53340	Thioredoxin OS=Gallus gallus OX=9031 GN=TXN PE=3 SV=2 E(blastx)=6e-08
kb8_s66691	Heat shock protein 90 OS=Eimeria tenella OX=5802 GN=HSP90 PE=2 SV=1 E(blastx)=6e-95
kb8_rep_c24852	Iron-sulfur cluster assembly 1 homolog, mitochondrial OS=Drosophila melanogaster OX=7227 GN=MagR PE=1 SV=1 E(blastx)=9e-35
kb8_rep_c20301	(S)-mandelate dehydrogenase, mitochondrial OS=Rhodotorula graminis OX=29898 PE=1 SV=2 E(blastx)=1e-05
kb8_rep_c11023	Ubiquitin-conjugating enzyme E2 6 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ubc6 PE=2 SV=1 E(blastx)=2e-45
kb8_c24156	POC1 centriolar protein homolog B OS=Mus musculus OX=10090 GN=Poc1b PE=2 SV=1 E(blastx)=4e-09
kb8_rep_c21655	RAP domain-containing protein, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=AL1 PE=2 SV=1 E(blastx)=2e-07
kb8_rep_c19544	S-adenosylmethionine carrier 1, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SAMC1 PE=1 SV=1 E(blastx)=5e-20
kb8_c13328	Exo-beta-1,3-glucanase OS=Streptomyces sp. (strain SirexAA-E / ActE) OX=862751 GN=SACTE_4363 PE=1 SV=1 E(blastx)=3e-21
kb8_s69277	Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CPA2 PE=1 SV=1 E(blastx)=1e-17
kb8_s61900	Voltage-dependent T-type calcium channel subunit alpha-1I OS=Rattus norvegicus OX=10116 GN=Cacna1i PE=1 SV=3 E(blastx)=6e-05
kb8_s53352	L-lactate dehydrogenase B chain OS=Squalus acanthias OX=7797 GN=ldhb PE=2 SV=1 E(blastx)=6e-42
kb8_c28917	Mitogen-activated protein kinase kinase kinase A OS=Dictyostelium discoideum OX=44689 GN=mkkA PE=1 SV=2 E(blastx)=7e-34
kb8_rep_c53816	NPC1-like intracellular cholesterol transporter 1 OS=Homo sapiens OX=9606 GN=NPC1L1 PE=1 SV=2 E(blastx)=4e-06
kb8_rep_c12418	Mitogen-activated protein kinase kinase 3 OS=Arabidopsis thaliana OX=3702 GN=MKK3 PE=1 SV=1 E(blastx)=4e-54
kb8_s70808	Calcium-dependent protein kinase 17 OS=Arabidopsis thaliana OX=3702 GN=CPK17 PE=2 SV=1 E(blastx)=7e-05
kb8_c13076	G patch domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GPATCH1 PE=1 SV=1 E(blastx)=4e-05
kb8_c10224	Ubiquitin carboxyl-terminal hydrolase 12 OS=Arabidopsis thaliana OX=3702 GN=UBP12 PE=1 SV=2 E(blastx)=3e-56
kb8_rep_c1499	Long-chain-fatty-acid--CoA ligase ACSBG2 OS=Gallus gallus OX=9031 GN=ACSBG2 PE=2 SV=2 E(blastx)=3e-130
kb8_c23303	Actin, cytoplasmic OS=Biomphalaria tenagophila OX=112528 PE=3 SV=1 E(blastx)=6e-111
kb8_rep_c12311	Chaperone protein DnaJ OS=Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA) OX=243231 GN=dnaJ PE=3 SV=1 E(blastx)=4e-16
kb8_rep_c22178	Ultraviolet-B receptor UVR8 OS=Arabidopsis thaliana OX=3702 GN=UVR8 PE=1 SV=1 E(blastx)=1e-05
kb8_c31146	GTPase activating protein Gyp51 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=gyp51 PE=3 SV=1 E(blastx)=1e-12
kb8_rep_c16260	SUMO-activating enzyme subunit 2 OS=Xenopus tropicalis OX=8364 GN=uba2 PE=2 SV=1 E(blastx)=5e-121
kb8_c16261	Bifunctional serine/threonine-protein kinase/NEDD4-like E3 ubiquitin-protein ligase OS=Dictyostelium discoideum OX=44689 GN=DDB_G0276527 PE=3 SV=2 E(blastx)=2e-10
kb8_c13729	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform OS=Oryctolagus cuniculus OX=9986 GN=PPP2R5B PE=2 SV=1 E(blastx)=1e-20
kb8_rep_c69263	Pre-mRNA-processing-splicing factor 8A OS=Arabidopsis thaliana OX=3702 GN=PRP8A PE=1 SV=1 E(blastx)=4e-33
kb8_rep_c7595	Poly [ADP-ribose] polymerase tankyrase OS=Caenorhabditis elegans OX=6239 GN=tank-1 PE=2 SV=1 E(blastx)=3e-07
kb8_c12594	Putative helicase L115 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_L115 PE=4 SV=1 E(blastx)=3e-29
kb8_rep_c4179	Calcineurin subunit B OS=Naegleria gruberi OX=5762 GN=CNB1 PE=3 SV=1 E(blastx)=3e-16
kb8_rep_c4545	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=glmS PE=3 SV=3 E(blastx)=2e-77
kb8_c34744	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase OS=Caenorhabditis elegans OX=6239 GN=ogt-1 PE=1 SV=2 E(blastx)=7e-14
kb8_c31480	eEF1A lysine and N-terminal methyltransferase OS=Bos taurus OX=9913 GN=EEF1AKNMT PE=2 SV=1 E(blastx)=7e-17
kb8_rep_c20462	Calmodulin OS=Physarum polycephalum OX=5791 PE=2 SV=3 E(blastx)=8e-06
kb8_rep_c6307	Integral membrane protein GPR180 OS=Homo sapiens OX=9606 GN=GPR180 PE=2 SV=1 E(blastx)=6e-10
kb8_c31689	Long chain acyl-CoA synthetase 7, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=LACS7 PE=1 SV=2 E(blastx)=3e-06
kb8_c27662	Serine/threonine-protein kinase AFC2 OS=Arabidopsis thaliana OX=3702 GN=AFC2 PE=1 SV=1 E(blastx)=5e-61
kb8_c21594	Inter-alpha-trypsin inhibitor heavy chain H4 OS=Bos taurus OX=9913 GN=ITIH4 PE=1 SV=1 E(blastx)=3e-08
kb8_c37643	Thiol:disulfide interchange protein TxlA homolog OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=txlA PE=3 SV=1 E(blastx)=3e-17
kb8_s66465	Coiled-coil domain-containing protein 12 OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=2 E(blastx)=4e-05
kb8_c44873	Muscle-specific protein 20 OS=Drosophila melanogaster OX=7227 GN=Mp20 PE=2 SV=2 E(blastx)=2e-33
kb8_s69765	Isocitrate dehydrogenase [NADP] 2 OS=Colwellia maris OX=77524 GN=icd2 PE=1 SV=3 E(blastx)=9e-57
kb8_c21155	F-box protein At1g78280 OS=Arabidopsis thaliana OX=3702 GN=At1g78280 PE=2 SV=3 E(blastx)=2e-13
kb8_rep_c7475	Structure-specific endonuclease subunit SLX1 homolog OS=Nematostella vectensis OX=45351 GN=v1g174298 PE=3 SV=1 E(blastx)=6e-32
kb8_rep_c52188	Elongation factor 2 OS=Cryptosporidium parvum OX=5807 PE=3 SV=1 E(blastx)=1e-71
kb8_rep_c38383	Serine/threonine-protein phosphatase PP1 isozyme 2 OS=Acetabularia peniculus OX=35862 PE=3 SV=1 E(blastx)=1e-80
kb8_s65131	Nitrate reductase [NADH] 2 OS=Arabidopsis thaliana OX=3702 GN=NIA2 PE=1 SV=1 E(blastx)=3e-19
kb8_rep_c5073	Putative phospholipase B-like 2 OS=Homo sapiens OX=9606 GN=PLBD2 PE=1 SV=2 E(blastx)=5e-71
kb8_rep_c12626	Palmitoleoyl-protein carboxylesterase notum1a OS=Danio rerio OX=7955 GN=notum1a PE=2 SV=1 E(blastx)=6e-16
kb8_s71489	Probable plasma membrane ATPase OS=Dictyostelium discoideum OX=44689 GN=patB PE=2 SV=2 E(blastx)=2e-05
kb8_s64552	Elongation factor Ts OS=Moorella thermoacetica (strain ATCC 39073 / JCM 9320) OX=264732 GN=tsf PE=3 SV=1 E(blastx)=4e-05
kb8_rep_c398	Sodium/potassium/calcium exchanger Nckx30C OS=Drosophila melanogaster OX=7227 GN=Nckx30C PE=2 SV=4 E(blastx)=9e-48
kb8_c17248	Callose synthase 11 OS=Arabidopsis thaliana OX=3702 GN=CALS11 PE=2 SV=1 E(blastx)=3e-39
kb8_s70342	Acyl-CoA dehydrogenase AFT10-1 OS=Alternaria alternata OX=5599 GN=AFT10-1 PE=3 SV=1 E(blastx)=1e-13
kb8_rep_c27034	Peptidyl-prolyl cis-trans isomerase CYP20-3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CYP20-3 PE=1 SV=1 E(blastx)=2e-73
kb8_s62595	Ribulose bisphosphate carboxylase (Fragment) OS=Symbiodinium sp. OX=2950 GN=rbcL PE=1 SV=1 E(blastx)=2e-33
kb8_c16710	tRNA 2'-phosphotransferase 1 OS=Danio rerio OX=7955 GN=trpt1 PE=2 SV=2 E(blastx)=7e-38
kb8_c15211	Vacuolar protein sorting-associated protein 26 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=PFL2415w PE=3 SV=1 E(blastx)=5e-140
kb8_c16139	Tetracycline resistance protein, class G OS=Vibrio anguillarum OX=55601 GN=tetA PE=3 SV=1 E(blastx)=8e-08
kb8_rep_c11675	Pumilio homolog 2 OS=Mus musculus OX=10090 GN=Pum2 PE=1 SV=2 E(blastx)=4e-76
kb8_c40505	NLR family CARD domain-containing protein 3 OS=Homo sapiens OX=9606 GN=NLRC3 PE=1 SV=2 E(blastx)=8e-15
kb8_c9863	Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4 E(blastx)=7e-131
kb8_rep_c5458	Large neutral amino acids transporter small subunit 4 OS=Xenopus tropicalis OX=8364 GN=slc43a2 PE=2 SV=1 E(blastx)=1e-08
kb8_c32766	Mannose-P-dolichol utilization defect 1 protein OS=Mus musculus OX=10090 GN=Mpdu1 PE=1 SV=1 E(blastx)=6e-18
kb8_s54239	60S acidic ribosomal protein P0 OS=Trypanosoma cruzi OX=5693 PE=2 SV=2 E(blastx)=8e-07
kb8_c26813	Pentatricopeptide repeat-containing protein At2g31400, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g31400 PE=2 SV=1 E(blastx)=1e-18
kb8_c16864	Glycylpeptide N-tetradecanoyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=NMT1 PE=1 SV=2 E(blastx)=8e-121
kb8_c13410	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0814900 PE=3 SV=2 E(blastx)=7e-08
kb8_rep_c4648	Phenolphthiocerol/phthiocerol polyketide synthase subunit A OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) OX=233413 GN=ppsA PE=1 SV=1 E(blastx)=6e-50
kb8_rep_c12854	Peptidyl-prolyl cis-trans isomerase cyp5 OS=Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880) OX=246409 GN=cyp5 PE=3 SV=1 E(blastx)=1e-46
kb8_rep_c5492	Cathepsin E OS=Mus musculus OX=10090 GN=Ctse PE=1 SV=2 E(blastx)=1e-44
kb8_rep_c4147	Glycine--tRNA ligase OS=Mus musculus OX=10090 GN=Gars1 PE=1 SV=1 E(blastx)=4e-145
kb8_s53579	Dinoflagellate viral nucleoprotein 5 OS=Hematodinium sp. OX=173654 PE=1 SV=1 E(blastx)=2e-24
kb8_s51520	NADH-cytochrome b5 reductase 2 OS=Xenopus tropicalis OX=8364 GN=cyb5r2 PE=2 SV=1 E(blastx)=3e-37
kb8_c17452	Potassium channel SKOR OS=Arabidopsis thaliana OX=3702 GN=SKOR PE=1 SV=1 E(blastx)=2e-08
kb8_c48699	Ankyrin repeat domain-containing protein 50 OS=Homo sapiens OX=9606 GN=ANKRD50 PE=1 SV=4 E(blastx)=9e-15
kb8_rep_c34156	Tubulin-folding cofactor B OS=Mus musculus OX=10090 GN=Tbcb PE=1 SV=2 E(blastx)=2e-17
kb8_rep_c11351	Carbonic anhydrase 2 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=mtcA2 PE=1 SV=1 E(blastx)=3e-22
kb8_rep_c68419	Ribulose bisphosphate carboxylase, chloroplastic OS=Heterocapsa triquetra OX=66468 GN=rbcL PE=2 SV=1 E(blastx)=2e-112
kb8_c28391	Prefoldin subunit 6 OS=Mus musculus OX=10090 GN=Pfdn6 PE=1 SV=1 E(blastx)=1e-14
kb8_rep_c22678	Probable cytosolic oligopeptidase A OS=Arabidopsis thaliana OX=3702 GN=CYOP PE=1 SV=1 E(blastx)=2e-92
kb8_rep_c18420	Pentatricopeptide repeat-containing protein At1g62670, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At1g62670 PE=3 SV=2 E(blastx)=8e-08
kb8_rep_c23589	UDP-glucuronic acid decarboxylase 1 OS=Rattus norvegicus OX=10116 GN=Uxs1 PE=1 SV=1 E(blastx)=1e-17
kb8_c12521	Ribonuclease HII 1 OS=Methylibium petroleiphilum (strain ATCC BAA-1232 / LMG 22953 / PM1) OX=420662 GN=rnhB1 PE=3 SV=1 E(blastx)=2e-52
kb8_rep_c44495	Poly(A) RNA polymerase, mitochondrial OS=Drosophila melanogaster OX=7227 GN=MTPAP PE=2 SV=2 E(blastx)=6e-05
kb8_s69684	Chaperone protein DnaJ OS=Rickettsia bellii (strain RML369-C) OX=336407 GN=dnaJ PE=3 SV=1 E(blastx)=1e-06
kb8_rep_c3190	Protease Do-like 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DEGP1 PE=1 SV=2 E(blastx)=2e-73
kb8_rep_c35523	Polyubiquitin 11 OS=Arabidopsis thaliana OX=3702 GN=UBQ11 PE=2 SV=1 E(blastx)=3e-68
